% Model,mesh_all_comsol5.5_Terminal_and_Ground_TimeDep_FullGeom_methodcall.mph
% Version,COMSOL 5.6.0.280
% Date,"Aug 25 2023, 13:48"
% Table,Table 10 - GVVPLV_02.2
% Time (h),Temperature (degC),GVVPLV_02.2
0,800.0000000000115
0.33,800.0369767983819
0.66,800.1941184845833
0.99,800.3258506314161
1.32,800.3873768661471
1.6500000000000004,800.3378629645712
1.98,800.0945904318772
2.31,799.7758916250033
2.64,799.3342919384212
2.97,798.7572990382643
3.3000000000000007,798.102689068504
3.6300000000000003,797.3199573302489
3.96,796.2790662018025
4.29,795.1430611043692
4.62,794.0070560069356
4.95,792.7425215124375
5.28,791.4028457270105
5.61,790.0631699415834
5.94,788.5862289094754
6.27,786.988227757861
6.600000000000001,785.3902266062463
6.930000000000001,783.7645773642677
7.260000000000001,782.0765599405662
7.590000000000001,780.3522678103565
7.92,778.5669118233849
8.25,776.7195552534466
8.58,774.8721986835084
8.91,773.012110970168
9.24,771.0682826918802
9.57,769.1244544135924
9.9,767.1806261353046
10.23,765.1791297571616
10.56,763.1734236866022
