% Model,mesh_all_comsol5.5_Terminal_and_Ground_TimeDep_FullGeom_methodcall.mph
% Version,COMSOL 5.6.0.280
% Date,"Aug 25 2023, 16:46"
% Table,Table 11 - GPPLV_2.1 GPPLV_2.2 GPPLV_2.3
% Time (h),Temperature GPPLV_2.1 (degC),Pressure GPPLV_2.2 (MPa),Volume GPPLV_2.3 (mm^3)
0,800.0000006531699,799.9999999625294,800.000000588933
0.33,803.1122878648908,800.0913916472649,803.1634213260623
0.66,809.1081443623408,801.5322790839588,809.2378135808268
0.99,818.0390749923473,805.1067746047537,818.21489391034
1.32,827.712305904237,809.8701032152468,827.9199527734896
1.6500000000000004,837.3255484355924,815.5519668274693,837.5544416655622
1.98,846.4976959636068,822.1131586642751,846.7366985523414
2.31,855.4393636895196,828.8206916149776,855.6860101459589
2.64,864.0054836273292,835.7666753155128,864.2557566375666
2.97,872.0145455345706,842.7401704158948,872.2668561815273
3.3000000000000007,879.7370805446845,849.691246850242,879.9909994090548
3.6300000000000003,887.0166094291138,856.5704519857692,887.2718672140344
3.96,893.3198263601176,863.0264424553496,893.5777308218964
4.29,899.2633395251997,869.3265074457832,899.5243724820372
4.62,905.2068526902814,875.6265724362171,905.4710141421778
4.95,910.650152087063,881.6080289506095,910.9169094516823
5.28,915.8010148183893,887.403219499881,916.0700567356449
5.61,920.9518775497157,893.1984100491526,921.2232040196078
5.94,925.687389742858,898.6163907741724,925.9599269520801
6.27,930.0565864482454,903.7016939460085,930.3293873547019
6.600000000000001,934.4257831536332,908.7869971178446,934.6988477573233
6.930000000000001,938.7030804341465,913.7801425138547,938.9763843587701
7.260000000000001,942.7730722568414,918.5653996675243,943.0465605146759
7.590000000000001,946.7224906648186,923.2297444461784,946.9961312737959
7.92,950.4281556020779,927.6587276859315,950.701992588709
8.25,953.8456666883022,931.8170133958507,954.1198423253039
8.58,957.2631777745265,935.9752991057704,957.5376920618988
8.91,960.6267484752049,940.0704972322436,960.9015664346442
9.24,963.6355200650379,943.7507294980627,963.9104116227182
9.57,966.6442916548709,947.4309617638816,966.919256810792
9.9,969.6530632447042,951.1111940297006,969.9281019988663
10.23,972.3307095074591,954.3980356374028,972.6060315569117
10.56,974.9841840742187,957.6561602651042,975.25980472656
